Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
avis_encadrant_recapitulatif_mobilite,encadrant,Informations sur le voyage,descriptive,"<div class=""rich-text-field-label""><p>Est-ce que vous avez déjà bénéficier d'un financement de mobilité dans les 5 dernières année ? : <span style=""font-weight: normal;"">[mobilite_historique_financements]</span><br>Sur quel dispositif (type d'appel à projets ou autre support) avez vous obtenu ce financement, en quelle année, vers quelle destination/structure, et pour quel montant ? : <span style=""font-weight: normal;"">[mobilite_financements_details]</span><br>Quelle est la destination de votre séjour ? : <span style=""font-weight: normal;"">[mobilite_destination_categorie]</span><br>Quelle université ? : <span style=""font-weight: normal;"">[mobilite_universite_eunicoast] [mobilite_universite_gu8][mobilite_universite_autre] </span><br>Dans quel laboratoire, département ou composante allez-vous ? : <span style=""font-weight: normal;"">[mobilite_laboratoire_accueil]</span><br>Quelle sera la durée de votre séjour ? : <span style=""font-weight: normal;"">[mobilite_duree_jours]</span><br>Dates envisagées : <span style=""font-weight: normal;"">[mobilite_dates_envisagees]</span><br>Objectifs et plus-value scientifique : <br><span style=""font-weight: normal;"">[mobilite_objectifs_scientifiques]</span><br>Activités prévues chez l'hôte :<br><span style=""font-weight: normal;"">[mobilite_activites_prevues]</span><br>Livrables et calendrier :<br><span style=""font-weight: normal;"">[mobilite_livrables_calendrier]</span> <br>Retombées attendues pour l'UAT :<br><span style=""font-weight: normal;"">[mobilite_retombees_UAT]</span> <br>Partenariat et alignement stratégique :<br><span style=""font-weight: normal;"">[mobilite_alignement_strategique]</span><br>Allez vous donner des cours sur place ? : <span style=""font-weight: normal;"">[mobilite_enseignement_prevu]</span><br>Projet pédagogique prévu chez l'hôte : <span style=""font-weight: normal;"">[mobilite_projet_pedagogique_hote]</span><br>Intérêt pour les composantes UAT :<span style=""font-weight: normal;""> [mobilite_interet_pedagogique_UAT]</span></p></div>",,,,,,,,,,,,,
avis_encadrant_nom,encadrant,Avis - Encadrant,text,Prénom et nom de l'encadrant ,,,,,,,,y,LH,,,,
avis_encadrant_position,encadrant,,dropdown,Position de l'encadrant,"1, Favorable|2, Favorable sous réserve|3, Défavorable",,,,,,,y,,,,,
avis_encadrant_motivation,encadrant,,notes,"<div class=""rich-text-field-label""><p>Motivation de l'avis<br><em><span style=""font-weight: normal;"">Merci de préciser les éléments pris en compte (Adéquation scientifique/professionnelle avec le parcours de l'intéressé...)</span></em></p></div>",,,,,,,,y,LH,,,,
avis_encadrant_signature,encadrant,,file,,,,signature,,,,,y,LH,,,,
validation_statut_composante,validation_finale,,descriptive,"<div class=""rich-text-field-label""><p>Statut de la validation du directeur de composante : <span style=""font-weight: normal;"">[demandeur_composante_complete:label]</span></p></div>",,,,,,,[demandeur_statut]=2 OR [invitation_type]=2 OR [invitation_type]=3,,,,,,
validation_statut_laboratoire,validation_finale,,descriptive,"<div class=""rich-text-field-label""><p>Statut de la validation du directeur de laboratoire : <span style=""font-weight: normal;"">[labo_complete:label]</span></p></div>",,,,,,,[invitation_type]=1 OR [invitation_type]=3 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,,,,,,
validation_statut_encadrant,validation_finale,,descriptive,"<div class=""rich-text-field-label""><p>Statut de la validation de l'encadrant : <span style=""font-weight: normal;"">[encadrant_complete:label]</span></p></div>",,,,,,,[demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,,,,,,
pdf_dossier_complet,admin,,file,PDF - dossier complet (auto),,,,,,,,,,,,,
lien_reviewer,admin,,text,Dossier,,,,,,,,,,,,,
email_reviewer_1,admin,,text,Email reviewer 1,,,email,,,,,,,,,,
email_reviewer_2,admin,,text,Email reviewer 2,,,email,,,,,,,,,,
email_reviewer_3,admin,,text,Email reviewer 3,,,email,,,,,,,,,,
statut_dossier,admin,,dropdown,Statut du Dossier,"1, Soumis - à vérifier | 2, Incomplet - retour au candidat | 3, En review | 4, Avis reçus - en consolidation | 5, Décision prise - à notifier | 6, Archivé",,,,,,,,,,,,
demandeur,dossier_reviewer,DEMANDEUR,descriptive,"<div class=""rich-text-field-label""><p>Nom : <span style=""font-weight: normal;"">[demandeur_nom]</span><br><br>Prénom : <span style=""font-weight: normal;"">[demandeur_prenom]</span><br><br>Statut :<span style=""font-weight: normal;""> [demandeur_statut]</span><br><br>Laboratoire : <span style=""font-weight: normal;"">[demandeur_laboratoire]</span></p></div>",,,,,,,,,,,,,
invitation_general,dossier_reviewer,INVITATION,descriptive,"<div class=""rich-text-field-label""><p>Type d'invitation : <span style=""font-weight: normal;"">[invitation_type]</span><br><br>Période :<span style=""font-weight: normal;""> [invitation_periode]</span><br><br>Durée (jours) : <span style=""font-weight: normal;"">[invitation_duree_jours]</span><br><br>Nom de l'invité : <span style=""font-weight: normal;"">[invite_nom]</span><br><br>Date de naissance : <span style=""font-weight: normal;"">[invite_date_naissance]</span><br><br>Nationalité : <span style=""font-weight: normal;"">[invite_nationalite]</span><br><br>Établissement (catégorie) : <span style=""font-weight: normal;"">[invite_etablissement]</span><br><br>EUNICoast :<span style=""font-weight: normal;""> [invite_etablissement_eunicoast]</span><br><br>GU8 :<span style=""font-weight: normal;""> [invite_etablissement_gu8]</span><br><br>Autre : <span style=""font-weight: normal;"">[invite_etablissement_autre]</span><br><br>Fonction :<span style=""font-weight: normal;""> [invite_fonction]</span><br><br>Discipline :<span style=""font-weight: normal;""> [invite_specialite]</span><br><br>Diplôme max :<span style=""font-weight: normal;""> [invite_diplome_max]</span></p></div>",,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,,,,,,
invitation_recherche,dossier_reviewer,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Recherche </span><br><br>Projet de recherche : <span style=""font-weight: normal;"">[invitation_projet_recherche]</span></p> <p>Laboratoire UAT d'accueil :<span style=""font-weight: normal;""> [demandeur_laboratoire]</span></p> <p>Intérêt labo :<span style=""font-weight: normal;""> [invitation_interet_laboratoire]</span></p> <p style=""margin-bottom: 0cm; line-height: normal;""><strong>Le laboratoire a-t-il mené une politique d'invitation de chercheurs visitants en 2024 et 2025 : <span style=""font-weight: normal;"">[laboratoire_historique_invitations]</span></strong></p> <p><strong>Quels chercheurs ont été reçus, leur établissement et pays d'origine </strong>:<span style=""font-weight: normal;""> [laboratoire_invitations_details]</span></p> <p style=""margin-bottom: 0cm; line-height: normal;""><strong>Venue de visitants pour 2026 sur les ressources du laboratoire : <span style=""font-weight: normal;"">[laboratoire_invitations_2025]</span></strong></p> <p>Si oui, précisez : <span style=""font-weight: normal;"">[laboratoire_invitations_2025_details]</span></p></div>",,,,,,,[invitation_type]=1 OR [invitation_type]=3,,,,,,
invitation_enseignement,dossier_reviewer,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Enseignement</span><br><br>Composante :<span style=""font-weight: normal;""> [enseignement_composante]</span><br><br>Heures :<span style=""font-weight: normal;""> [heure_enseignement]</span><br><br>Projet pédagogique :<span style=""font-weight: normal;""> [enseignement_projet_pedagogique]</span><br><br>Intérêt composante : <span style=""font-weight: normal;"">[enseignement_interet_composante]</span><br><br>Intérêt établissement : <span style=""font-weight: normal;"">[mobilite_interet_etablissement]</span></p></div>",,,,,,,[invitation_type]=2 OR [invitation_type]=3 OR [demandeur_statut]=2,,,,,,
link_dossier_cv,dossier_reviewer,,descriptive,CV de l'invité (PDF) : [cv_invite:link],,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,,,,,,
sejour,dossier_reviewer,Séjour de recherche hors UAT,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Financement antérieur</span><br><br>A déjà eu un financement mobilité : <span style=""font-weight: normal;"">[mobilite_historique_financements]</span><br><br>Détails financements : <span style=""font-weight: normal;"">[mobilite_financements_details]</span><br><br><span style=""font-size: 12pt;"">Destination</span><br><br>Catégorie : <span style=""font-weight: normal;"">[mobilite_destination_categorie]</span><br><br>EUNICoast :<span style=""font-weight: normal;""> [mobilite_universite_eunicoast]</span><br><br>GU8 :<span style=""font-weight: normal;""> [mobilite_universite_gu8]</span><br><br>Autre :<span style=""font-weight: normal;""> [mobilite_universite_autre]</span><br><br>Structure d'accueil<br><br>Labo/équipe d'accueil : <span style=""font-weight: normal;"">[mobilite_laboratoire_accueil]</span><br><br><span style=""font-size: 12pt;"">Période et durée</span><br><br>Durée (jours) : <span style=""font-weight: normal;"">[mobilite_duree_jours]</span><br><br>Dates envisagées :<span style=""font-weight: normal;""> [mobilite_dates_envisagees]</span><br><br><span style=""font-size: 12pt;"">Projet</span><br><br>Objectifs : <span style=""font-weight: normal;"">[mobilite_objectifs_scientifiques]</span><br><br>Activités prévues : <span style=""font-weight: normal;"">[mobilite_activites_prevues]</span><br><br>Livrables/calendrier : <span style=""font-weight: normal;"">[mobilite_livrables_calendrier]</span><br><br>Retombées UAT : <span style=""font-weight: normal;"">[mobilite_retombees_UAT]</span><br><br>Alignement stratégique : <span style=""font-weight: normal;"">[mobilite_alignement_strategique]</span></p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,,,,,,
enseignement,dossier_reviewer,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Enseignement sur place</span><br><br>Projet pédagogique hôte :<span style=""font-weight: normal;""> [mobilite_projet_pedagogique_hote]</span><br><br>Volume horaire :<span style=""font-weight: normal;""> [mobilite_volume_horaire]</span><br><br>Intérêt pédagogique UAT : <span style=""font-weight: normal;"">[mobilite_interet_pedagogique_UAT]</span></p></div>",,,,,,,[mobilite_enseignement_prevu]=1,,,,,,
link_dossier,dossier_reviewer,,descriptive,Lettre d'invitation (PDF) : [mobilite_lettre_invitation:link],,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,,,,,,
avis_laboratoire,dossier_reviewer,"<div class=""rich-text-field-label""><p><span style=""font-size: 10pt;"">AVIS</span></p></div>",descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Directeur de laboratoire</span></p> <p>Prénom et nom : <span style=""font-weight: normal;"">[avis_laboratoire_directeur_nom]</span></p> <p>Laboratoire : <span style=""font-weight: normal;"">[demandeur_laboratoire]</span></p> <p>Avis : <span style=""font-weight: normal;"">[avis_laboratoire_position]</span></p> <p>Motivation de l'avis : <span style=""font-weight: normal;"">[avis_laboratoire_motivation]</span></p></div>",,,,,,,[invitation_type]=1 OR [invitation_type]=3 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,,,,,,
avis_composante,dossier_reviewer,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Directeur de composante</span></p> <p>Prénom et nom : <span style=""font-weight: normal;"">[avis_composante_directeur_nom]</span></p> <p>Composante :<span style=""font-weight: normal;""> [enseignement_composante]</span></p> <p>Avis : <span style=""font-weight: normal;"">[avis_composante_position]</span></p> <p>Motivation de l'avis : <span style=""font-weight: normal;"">[avis_composante_motivation]</span></p></div>",,,,,,,[demandeur_statut]=2 OR [invitation_type]=2 OR [invitation_type]=3,,,,,,
avis_encadrant,dossier_reviewer,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Directeur de l'encadrant</span></p> <p>Prénom et nom : <span style=""font-weight: normal;"">[avis_encadrant_nom]</span></p> <p>Avis : <span style=""font-weight: normal;"">[avis_encadrant_position]</span></p> <p>Motivation de l'avis : <span style=""font-weight: normal;"">[avis_encadrant_motivation]</span></p></div>",,,,,,,[demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,,,,,,
pertinence_scientifique,reviewer_1,,notes,"<div class=""rich-text-field-label""><p>Pertinence<br><em><span style=""font-weight: normal;"">(en quelques lignes)</span></em></p></div>",,,,,,,,y,,,,,
faisabilit,reviewer_1,,notes,"<div class=""rich-text-field-label""><p>Faisabilité<br><em><span style=""font-weight: normal;"">(en quelques lignes)</span></em></p></div>",,,,,,,,y,,,,,
alignement_UAT,reviewer_1,,notes,"<div class=""rich-text-field-label""><p>Alignement stratégique UAT<br><em><span style=""font-weight: normal;"">(en quelques lignes)</span></em></p></div>",,,,,,,,y,,,,,
commentaire,reviewer_1,,notes,"<div class=""rich-text-field-label""><p>Commentaire général<br><span style=""font-weight: normal;""><em>(en quelques lignes)</em></span></p></div>",,,,,,,,y,,,,,
note,reviewer_1,,text,"<div class=""rich-text-field-label""><p>Note<br><em><span style=""font-weight: normal;"">Entre 1 et 5</span></em></p></div>",,,number,0,5,,,y,,,,,
recommandation,reviewer_1,,dropdown,Recommandation,"1, Financer | 2, Réserve (demande de précisions) | 3, Ne pas financer",,,,,,,y,,,,,
pertinence_scientifique_r2,reviewer_2,,notes,"<div class=""rich-text-field-label""><p>Pertinence<br><em><span style=""font-weight: normal;"">(en quelques lignes)</span></em></p></div>",,,,,,,,y,,,,,
faisabilit_r2,reviewer_2,,notes,"<div class=""rich-text-field-label""><p>Faisabilité<br><span style=""font-weight: normal;""><em>(en quelques lignes)</em></span></p></div>",,,,,,,,y,,,,,
alignement_UAT_r2,reviewer_2,,notes,"<div class=""rich-text-field-label""><p>Alignement stratégique UAT<br><em><span style=""font-weight: normal;"">(en quelques lignes)</span></em></p></div>",,,,,,,,y,,,,,
commentaire_r2,reviewer_2,,notes,"<div class=""rich-text-field-label""><p>Commentaire général<br><span style=""font-weight: normal;""><em>(en quelques lignes)</em></span></p></div>",,,,,,,,y,,,,,
note_r2,reviewer_2,,text,"<div class=""rich-text-field-label""><p>Note<br><em><span style=""font-weight: normal;"">Entre 1 et 5</span></em></p></div>",,,number,0,5,,,y,,,,,
recommandation_r2,reviewer_2,,dropdown,Recommandation,"1, Financer | 2, Réserve | 3, Ne pas financer",,,,,,,y,,,,,
pertinence_scientifique_r2_3,reviewer_3,,notes,"<div class=""rich-text-field-label""><p>Pertinence<br><em><span style=""font-weight: normal;"">(en quelques lignes)</span></em></p></div>",,,,,,,,y,,,,,
faisabilit_r2_3,reviewer_3,,notes,"<div class=""rich-text-field-label""><p>Faisabilité<br><span style=""font-weight: normal;""><em>(en quelques lignes)</em></span></p></div>",,,,,,,,y,,,,,
alignement_UAT_r2_3,reviewer_3,,notes,"<div class=""rich-text-field-label""><p>Alignement stratégique UAT<br><em><span style=""font-weight: normal;"">(en quelques lignes)</span></em></p></div>",,,,,,,,y,,,,,
commentaire_r2_3,reviewer_3,,notes,"<div class=""rich-text-field-label""><p>Commentaire général<br><span style=""font-weight: normal;""><em>(en quelques lignes)</em></span></p></div>",,,,,,,,y,,,,,
note_r2_3,reviewer_3,,text,"<div class=""rich-text-field-label""><p>Note<br><em><span style=""font-weight: normal;"">Entre 1 et 5</span></em></p></div>",,,number,0,5,,,y,,,,,
recommandation_r2_3,reviewer_3,,dropdown,Recommandation,"1, Financer | 2, Réserve | 3, Ne pas financer",,,,,,,y,,,,,
